1970s,1980s,1990s,2000s,2010s
1,6.108333333,5.25,6.575,6.766666667,7.7
2,6.841666667,6.25,7.191666667,7.325,6.441666667
3,6.591666667,6.733333333,6.25,6.933333333,7.025
4,6.883333333,6.591666667,6.55,6.816666667,8.041666667
5,7.625,3.958333333,6.375,7.166666667,7.916666667
6,5.466666667,5.366666667,5.658333333,7.65,7.383333333
7,5.633333333,4.208333333,6.966666667,7.375,7.175
8,5.15,6.216666667,6.125,7.75,8.033333333
9,5.183333333,7.658333333,7.441666667,6.883333333,7.783333333
10,5.275,7.6,7.7,5.191666667,8.966666667
